trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-67.63710211713948,"{0: 17, 1: 5, 2: 2, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.95}",20,0,-146.05782068823987,"{0: 10, 1: 1, 2: 5, 3: 3, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.9}",30,0,-100.71152680265203,"{0: 20, 1: 3, 2: 5, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.85}",20,0,-115.98120235426202,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.8}",20,0,-9.660926704900108,"{0: 15, 1: 5, 2: 0, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.75}",25,0,-67.44827712839898,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.7}",25,0,-128.7234083329532,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.6499999999999999}",25,1,-76.42071624354125,"{0: 17, 1: 0, 2: 6, 3: 0, 4: 1}",1
9,False,"{'a': 0.5, 'e': 0.6}",25,3,-12.663906214877652,"{0: 19, 1: 0, 2: 2, 3: 1, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.55}",30,0,-33.69699737116031,"{0: 22, 1: 5, 2: 2, 3: 1, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.5}",20,7,-38.002440735409294,"{0: 7, 1: 2, 2: 4, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.44999999999999996}",25,0,-102.89882501317047,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.3999999999999999}",20,4,-31.696448781716185,"{0: 11, 1: 1, 2: 4, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.35}",25,9,-48.17546914480536,"{0: 13, 1: 0, 2: 1, 3: 1, 4: 1}",1
15,False,"{'a': 0.5, 'e': 0.29999999999999993}",20,0,-22.6058220354163,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.25}",35,15,13.525469788764916,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.19999999999999996}",30,4,-29.947724065617084,"{0: 23, 1: 1, 2: 0, 3: 1, 4: 1}",1
18,False,"{'a': 0.5, 'e': 0.1499999999999999}",30,18,-34.65116231014923,"{0: 9, 1: 0, 2: 1, 3: 2, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.09999999999999998}",20,12,-3.2501840731143656,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': 0.04999999999999993}",20,0,13.982261551872213,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",20,0,6.456162477572743,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",20,12,13.336167908014527,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",30,16,25.708139279324634,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",25,20,10.469947455067182,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,8,-1.043883643425625,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,0,27.680006178784282,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",25,10,14.894248504420112,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",25,0,22.170914716297002,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",20,0,-27.340615666654454,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
10,True,"{'a': 0, 'e': 0}",30,21,18.3557091725122,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
