trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 1.0, 'e': 0.995}",20,4,-89.30527978101128,"{0: 9, 1: 0, 2: 4, 3: 3, 4: 0}",1
2,False,"{'a': 0.9994642857142857, 'e': 0.990025}",25,0,-173.51300393223352,"{0: 11, 1: 5, 2: 6, 3: 1, 4: 2}",0
3,False,"{'a': 0.9989285714285714, 'e': 0.985074875}",25,0,-160.78671437477004,"{0: 13, 1: 2, 2: 6, 3: 3, 4: 1}",0
4,False,"{'a': 0.9983928571428572, 'e': 0.980149500625}",25,0,-170.7737534266655,"{0: 14, 1: 3, 2: 5, 3: 0, 4: 3}",0
5,False,"{'a': 0.9978571428571429, 'e': 0.975248753121875}",30,2,-142.33695400828162,"{0: 14, 1: 4, 2: 8, 3: 1, 4: 1}",1
6,False,"{'a': 0.9973214285714286, 'e': 0.9703725093562656}",20,0,-120.38140104946959,"{0: 11, 1: 4, 2: 3, 3: 0, 4: 2}",0
7,False,"{'a': 0.9967857142857143, 'e': 0.9655206468094842}",20,0,-18.822956244156213,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
8,False,"{'a': 0.99625, 'e': 0.9606930435754368}",30,0,-135.52280451559577,"{0: 17, 1: 5, 2: 5, 3: 2, 4: 1}",0
9,False,"{'a': 0.9957142857142857, 'e': 0.9558895783575596}",25,0,-114.15540109746817,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
10,False,"{'a': 0.9951785714285715, 'e': 0.9511101304657719}",35,0,-273.8005688322662,"{0: 17, 1: 3, 2: 8, 3: 4, 4: 3}",0
11,False,"{'a': 0.9946428571428572, 'e': 0.946354579813443}",25,0,-69.35028315345178,"{0: 17, 1: 4, 2: 3, 3: 0, 4: 1}",0
12,False,"{'a': 0.9941071428571429, 'e': 0.9416228069143757}",25,0,-149.88128082246493,"{0: 17, 1: 2, 2: 2, 3: 1, 4: 3}",0
13,False,"{'a': 0.9935714285714285, 'e': 0.9369146928798039}",20,0,-121.3447830297273,"{0: 8, 1: 6, 2: 4, 3: 1, 4: 1}",0
14,False,"{'a': 0.9930357142857142, 'e': 0.9322301194154049}",20,0,-172.0226055137087,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 4}",0
15,False,"{'a': 0.9925, 'e': 0.9275689688183278}",30,0,-185.8135335654836,"{0: 18, 1: 3, 2: 5, 3: 1, 4: 3}",0
16,False,"{'a': 0.9919642857142857, 'e': 0.9229311239742362}",25,10,-120.61005809188143,"{0: 7, 1: 2, 2: 4, 3: 0, 4: 2}",1
17,False,"{'a': 0.9914285714285714, 'e': 0.918316468354365}",20,0,-113.44602841385532,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
18,False,"{'a': 0.9908928571428571, 'e': 0.9137248860125932}",20,0,-79.330229579544,"{0: 11, 1: 2, 2: 6, 3: 1, 4: 0}",0
19,False,"{'a': 0.9903571428571428, 'e': 0.9091562615825302}",30,0,-95.54464418014693,"{0: 22, 1: 0, 2: 6, 3: 1, 4: 1}",0
20,False,"{'a': 0.9898214285714285, 'e': 0.9046104802746175}",20,0,-133.78729053408512,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
21,False,"{'a': 0.9892857142857143, 'e': 0.9000874278732445}",30,16,-11.881608250967876,"{0: 10, 1: 2, 2: 2, 3: 0, 4: 0}",1
22,False,"{'a': 0.98875, 'e': 0.8955869907338783}",25,17,-0.1257029159338794,"{0: 6, 1: 2, 2: 0, 3: 0, 4: 0}",1
23,False,"{'a': 0.9882142857142857, 'e': 0.8911090557802088}",20,0,-27.987851688760436,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
24,False,"{'a': 0.9876785714285714, 'e': 0.8866535105013078}",20,0,-73.63880251498213,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
25,False,"{'a': 0.9871428571428571, 'e': 0.8822202429488012}",20,5,-67.37867692120207,"{0: 9, 1: 2, 2: 3, 3: 0, 4: 1}",1
26,False,"{'a': 0.9866071428571429, 'e': 0.8778091417340572}",30,0,-76.58598417555993,"{0: 22, 1: 0, 2: 6, 3: 2, 4: 0}",0
27,False,"{'a': 0.9860714285714286, 'e': 0.873420096025387}",20,0,-140.83957717471952,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
