trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-128.24371604155334,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-154.54728333921852,"{0: 9, 1: 1, 2: 8, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-108.48017388285746,"{0: 13, 1: 3, 2: 1, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,8,-8.425103799198867,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 0}",1
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-106.77148794302835,"{0: 12, 1: 4, 2: 2, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-9.473642278140847,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-128.40033028371548,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-58.36646123408948,"{0: 14, 1: 4, 2: 1, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-195.4035410174585,"{0: 8, 1: 3, 2: 5, 3: 1, 4: 3}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-58.182100212589575,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-236.46566733456396,"{0: 11, 1: 4, 2: 5, 3: 1, 4: 4}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,3,-120.56689334749142,"{0: 9, 1: 2, 2: 4, 3: 0, 4: 2}",1
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-43.78146880956104,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-93.93119300310349,"{0: 12, 1: 4, 2: 9, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-48.69142379254608,"{0: 18, 1: 3, 2: 3, 3: 1, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.0}",35,0,-149.99902615043396,"{0: 20, 1: 5, 2: 8, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",30,0,-111.03643455350426,"{0: 17, 1: 5, 2: 6, 3: 2, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-168.18134993029992,"{0: 15, 1: 3, 2: 3, 3: 1, 4: 3}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-150.23083440212315,"{0: 8, 1: 5, 2: 3, 3: 3, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-171.2716094950415,"{0: 12, 1: 2, 2: 9, 3: 0, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-212.93267324691288,"{0: 14, 1: 1, 2: 6, 3: 0, 4: 4}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-45.12492943121934,"{0: 15, 1: 3, 2: 0, 3: 2, 4: 0}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,1,-103.69206861949247,"{0: 11, 1: 4, 2: 8, 3: 1, 4: 0}",1
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-109.7387750810971,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-215.90512701940722,"{0: 11, 1: 3, 2: 7, 3: 1, 4: 3}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-26.80495519082797,"{0: 14, 1: 4, 2: 2, 3: 0, 4: 0}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-89.70282466804692,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-107.2984326425483,"{0: 12, 1: 4, 2: 2, 3: 0, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",30,0,-157.7535052151744,"{0: 15, 1: 10, 2: 2, 3: 1, 4: 2}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-43.59308669181246,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
